                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.60805,                0.43059,                 1.0031,                0.92727,                0.89463,                0.92878,                0.67663,                 1.0799,                0.53161,                 1.3588,             0.00026422,             0.00026422,             0.00026422
                     87,                0.62196,                 0.4694,                 1.0311,                0.91894,                0.87088,                0.93382,                0.67177,                 1.0867,                0.53647,                  1.383,             0.00024772,             0.00024772,             0.00024772
                     88,                0.59309,                 0.4766,                 1.0119,                0.94214,                0.82209,                0.93256,                0.66517,                 1.1009,                0.55629,                  1.398,             0.00023121,             0.00023121,             0.00023121
                     89,                0.60224,                0.44112,                 1.0003,                0.97657,                0.85633,                0.93821,                0.66458,                 1.1104,                0.55639,                 1.4155,             0.00021471,             0.00021471,             0.00021471
                     90,                0.58512,                0.40809,                0.99388,                0.95092,                0.85269,                0.94291,                0.67862,                 1.0831,                0.55019,                 1.4332,             0.00019821,             0.00019821,             0.00019821
                     91,                0.50016,                0.32414,                0.93771,                0.95745,                0.86871,                0.92863,                0.66442,                 1.0631,                0.53191,                 1.4087,              0.0001817,              0.0001817,              0.0001817
                     92,                0.52887,                 0.3737,                0.96765,                0.91716,                0.91508,                0.93525,                0.67863,                 1.0716,                 0.5477,                  1.402,              0.0001652,              0.0001652,              0.0001652
                     93,                0.50284,                0.31822,                0.95691,                0.90467,                0.93497,                0.94128,                0.68934,                 1.0451,                0.52503,                 1.3895,              0.0001487,              0.0001487,              0.0001487
                     94,                0.48668,                0.30469,                0.95491,                0.90951,                0.91922,                0.94284,                0.67798,                 1.0661,                0.55595,                 1.4183,             0.00013219,             0.00013219,             0.00013219
                     95,                 0.4444,                0.27954,                0.92084,                0.89963,                0.91884,                0.94037,                0.67607,                 1.0758,                0.55836,                 1.4232,             0.00011569,             0.00011569,             0.00011569
                     96,                0.43252,                0.26507,                0.89927,                0.94956,                0.89744,                0.93933,                0.67894,                 1.0916,                0.51809,                 1.4438,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.44831,                 0.2689,                0.91467,                0.92818,                  0.883,                0.93642,                0.67482,                 1.0997,                0.51725,                 1.4365,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.43569,                0.27381,                0.90052,                0.92695,                0.89371,                0.93298,                0.67189,                 1.1074,                 0.5222,                 1.4291,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.41738,                0.26092,                0.90437,                0.92413,                0.88205,                 0.9306,                0.66728,                 1.1059,                0.52085,                 1.4255,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.42658,                0.26678,                0.89028,                 0.9252,                0.88205,                0.93243,                0.68217,                 1.0986,                 0.5151,                 1.4138,             3.3173e-05,             3.3173e-05,             3.3173e-05
