                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.47432,                0.39792,                0.98944,                0.90092,                0.83333,                0.87447,                0.56156,                 1.2651,                 1.0086,                 1.6993,             0.00028072,             0.00028072,             0.00028072
                     86,                 0.5028,                 0.4323,                 0.9892,                0.90238,                0.83333,                0.87825,                0.55418,                 1.2871,                 0.9976,                 1.7229,             0.00026422,             0.00026422,             0.00026422
                     87,                 0.5232,                0.39349,                 0.9811,                0.90269,                0.83333,                0.88789,                0.58957,                 1.3037,                 1.0246,                 1.7096,             0.00024772,             0.00024772,             0.00024772
                     88,                0.43919,                0.40722,                0.98339,                0.90302,                0.83333,                0.88305,                0.58524,                 1.3133,                 1.0638,                 1.7093,             0.00023121,             0.00023121,             0.00023121
                     89,                0.42392,                 0.3602,                0.94854,                0.90302,                0.83333,                0.88305,                0.58524,                 1.3133,                 1.0638,                 1.7093,             0.00021471,             0.00021471,             0.00021471
                     90,                 0.4984,                 0.3781,                0.95526,                0.90299,                0.83333,                0.88845,                0.58567,                 1.3389,                 1.1077,                 1.7133,             0.00019821,             0.00019821,             0.00019821
                     91,                0.34523,                0.33139,                 0.8701,                0.90516,                0.83333,                0.88789,                0.58416,                 1.3442,                 1.1195,                 1.6931,              0.0001817,              0.0001817,              0.0001817
                     92,                 0.3674,                0.34921,                0.88479,                0.90889,                0.83146,                0.88267,                0.58428,                 1.3533,                 1.1318,                 1.6862,              0.0001652,              0.0001652,              0.0001652
                     93,                0.36019,                0.30972,                0.84498,                0.90889,                0.83146,                0.88267,                0.58428,                 1.3533,                 1.1318,                 1.6862,              0.0001487,              0.0001487,              0.0001487
                     94,                0.36441,                0.33359,                0.86045,                0.91396,                0.88687,                 0.8947,                0.59682,                  1.357,                 1.1212,                 1.6765,             0.00013219,             0.00013219,             0.00013219
                     95,                0.33435,                0.31576,                0.83709,                0.91406,                0.88795,                0.89392,                0.59576,                 1.3516,                 1.1023,                  1.661,             0.00011569,             0.00011569,             0.00011569
                     96,                0.34748,                0.32012,                0.84388,                0.91425,                0.89012,                0.90096,                0.59942,                 1.3418,                 1.0851,                 1.6352,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.30901,                 0.3048,                0.84192,                0.91425,                0.89012,                0.90096,                0.59942,                 1.3418,                 1.0851,                 1.6352,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.28154,                0.29293,                  0.849,                 0.9142,                0.88949,                0.90059,                0.60045,                 1.3327,                 1.0652,                 1.6326,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.33839,                0.30708,                0.87019,                0.91473,                0.89533,                 0.9005,                0.60029,                 1.3303,                 1.0383,                 1.6245,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.28967,                0.29677,                 0.8368,                0.91428,                0.89037,                0.90042,                0.60014,                 1.3324,                 1.0264,                 1.6205,             3.3173e-05,             3.3173e-05,             3.3173e-05
