                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.68763,                0.44447,                 1.0809,                0.97549,                0.97092,                0.96998,                0.62685,                 1.3463,                0.65896,                 1.4997,             0.00059429,             0.00059429,             0.00059429
                     67,                0.67146,                0.43052,                 1.0519,                0.94825,                0.92683,                0.96087,                0.63898,                 1.3728,                0.66883,                 1.5282,             0.00057778,             0.00057778,             0.00057778
                     68,                0.70841,                0.48072,                 1.0714,                 0.9445,                0.90244,                0.95342,                0.60369,                 1.3385,                0.75807,                 1.5373,             0.00056128,             0.00056128,             0.00056128
                     69,                0.65743,                0.42184,                 1.0429,                0.90694,                0.95081,                0.94459,                  0.596,                 1.3424,                0.71214,                 1.5234,             0.00054478,             0.00054478,             0.00054478
                     70,                0.67732,                0.44112,                 1.0564,                0.94578,                0.85366,                0.92881,                0.58818,                 1.3343,                0.71346,                 1.4887,             0.00052827,             0.00052827,             0.00052827
                     71,                0.65227,                0.42922,                 1.0534,                0.90208,                0.89884,                0.93323,                0.57892,                 1.3253,                0.73737,                 1.4631,             0.00051177,             0.00051177,             0.00051177
                     72,                0.68054,                0.43455,                 1.0662,                0.92358,                0.95122,                0.95355,                0.58816,                 1.3034,                0.69108,                   1.45,             0.00049527,             0.00049527,             0.00049527
                     73,                0.62529,                0.39675,                 1.0214,                0.92372,                0.95122,                  0.949,                0.61069,                 1.2785,                0.65891,                 1.4195,             0.00047876,             0.00047876,             0.00047876
                     74,                0.59565,                0.38913,                 1.0237,                0.94951,                0.97561,                0.94769,                0.59427,                 1.2724,                0.56347,                 1.4332,             0.00046226,             0.00046226,             0.00046226
                     75,                0.62806,                0.40653,                 1.0354,                 0.9744,                0.97561,                0.95338,                0.59084,                 1.2931,                0.53897,                 1.4426,             0.00044576,             0.00044576,             0.00044576
                     76,                0.59836,                0.39061,                 1.0269,                0.97422,                0.97561,                0.95413,                0.60337,                 1.2921,                0.53881,                 1.4056,             0.00042925,             0.00042925,             0.00042925
                     77,                0.58787,                0.38657,                0.99868,                0.97376,                0.97561,                 0.9555,                0.60809,                 1.2903,                0.53897,                  1.409,             0.00041275,             0.00041275,             0.00041275
                     78,                0.57503,                0.39114,                 1.0063,                0.95122,                0.97561,                0.95441,                0.60813,                 1.2754,                0.55398,                 1.4508,             0.00039625,             0.00039625,             0.00039625
                     79,                0.59893,                0.39104,                 1.0234,                 0.9511,                0.97561,                 0.9552,                0.62583,                 1.2781,                0.55401,                 1.4542,             0.00037974,             0.00037974,             0.00037974
                     80,                0.58278,                0.39378,                 1.0149,                0.95067,                0.97561,                0.95027,                0.62509,                 1.2817,                0.55191,                 1.4621,             0.00036324,             0.00036324,             0.00036324
                     81,                0.60786,                0.39111,                0.99751,                0.95233,                0.97447,                0.95501,                 0.6193,                 1.2944,                0.57113,                 1.4872,             0.00034674,             0.00034674,             0.00034674
                     82,                0.60556,                0.40025,                 1.0414,                0.95231,                0.97405,                0.96339,                0.64186,                 1.3154,                 0.5665,                 1.4984,             0.00033023,             0.00033023,             0.00033023
                     83,                0.55125,                0.36335,                0.97796,                 0.9508,                0.95122,                0.96445,                0.63719,                 1.3168,                0.56722,                 1.4901,             0.00031373,             0.00031373,             0.00031373
